Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,UNSD Geographical Grouping,Source Quality
US-Mexico Border,1-Sep-20,2020,Sep,1,NULL,1,1,NULL,1,NULL,Presumed exposure,"Unspecified location close to Calexico, Imperial County, California, USA",US Border Patrol,"32.678947600000, -115.498883400000",NULL,Northern America,5
US-Mexico Border,1-Sep-20,2020,Sep,1,NULL,1,2,1,NULL,NULL,Pressumed exposure,"km 313 of Chihuahua-Ciudad JuÃ¡rez Highway, Chihuahua, Mexico",Chihuahua General Prosecutor's Office,"29.887949657949, -106.398482287500",NULL,Central America,5
Mediterranean,1-Sep-20,2020,Sep,1,NULL,1,NULL,1,NULL,NULL,NULL,"Alboran Sea, 50 metres off the coast of Isla del Rey, Islas Chafarinas, Spain","La Vanguardia, El Faro de Melilla","35.180748200000, -2.423032900000",Western Mediterranean,Uncategorized,3
Mediterranean,31-Aug-20,2020,Aug,NULL,3,3,18,NULL,NULL,NULL,Presumed drowning,Mediterranean Sea approximately at position 33 54 / 012 38 at 1533z,Sea-Watch,"33.351235568583, 12.500514732812",Central Mediterranean,Uncategorized,4
US-Mexico Border,30-Aug-20,2020,Aug,2,NULL,2,1,1,1,NULL,Presumed exposure,"Close to Cuatralbo Ranch, Chihuahua, Mexico","Debate, La OpciÃ³n de Chihuahua","29.346125393336, -106.001793962500",NULL,Central America,3
Mediterranean,30-Aug-20,2020,Aug,3,1,4,16,1,2,NULL,Fire,"Off the coast of Crotone, Calabria, Italy","La Reppublica, Al Jazeera","39.094117289475, 17.176090898921",Central Mediterranean,Uncategorized,3
Sub-Saharan Africa,29-Aug-20,2020,Aug,3,NULL,3,3,NULL,NULL,NULL,Vehicle Accident,"Close to Dirkou, at about 45 km northern Ashgour water point, the Niger",IOM Niamey Medical Doctor,"19.004818100000, 13.081790300000",NULL,Western Africa,4
Mediterranean,28-Aug-20,2020,Aug,1,3,4,130,NULL,1,NULL,Presumed drowning,Unspecified location between Libya and Italy or Malta,MV Louise Michel,"35.079702383961, 15.951074185116",Central Mediterranean,Uncategorized,4
Mediterranean,28-Aug-20,2020,Aug,3,NULL,3,NULL,NULL,NULL,NULL,Presumed drowning,"Remains washed ashore at Abukamash coast, Libya",IOM Libya,"33.074222400000, 11.736723300000",NULL,Uncategorized,4
Mediterranean,28-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning,"Remains washed ashore at Surman coast, Libya",IOM Libya,"32.798303773509, 12.569261486421",Central Mediterranean,Uncategorized,4
US-Mexico Border,27-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning,"RÃ­o Bravo, El Patinadero, Nuevo Laredo, Tamaulipas, Mexico","Vox PÃ³puli, LÃ­der Web","27.479453572254, -99.479171292307",NULL,Central America,3
Mediterranean,27-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning (hit by a ferry),"At the Ribera 2 dock, Melilla, Spain","Europa Press, El Faro de Melilla","35.290922993705, -2.928543182751",Western Mediterranean,Uncategorized,3
